nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,n_query_vars,n_query_evidence,experiment,runtime,exception
39,10,10,48,1.2307692307692308,2,0,1.2307692307692308,6,0,2.4615384615384617,6,1,4,21,map_mindeg,0.5303446000000003,
33,6,12,46,1.393939393939394,2,0,1.393939393939394,5,0,2.787878787878788,5,1,3,18,map_mindeg,0.5138020000000001,
31,4,15,45,1.4516129032258065,2,0,1.4516129032258065,8,0,2.903225806451613,8,0,3,16,map_mindeg,1.3546982,
34,6,12,48,1.411764705882353,2,0,1.411764705882353,6,0,2.823529411764706,6,1,3,19,map_mindeg,1.1921297000000002,
39,10,12,50,1.2820512820512822,2,0,1.2820512820512822,5,0,2.5641025641025643,5,1,4,24,map_mindeg,7.0363522,
35,8,13,49,1.4,2,0,1.4,6,0,2.8,6,1,4,22,map_mindeg,76.6009448,
32,7,11,43,1.34375,2,0,1.34375,6,0,2.6875,6,0,3,17,map_mindeg,4.2783643,
31,6,12,44,1.4193548387096775,2,0,1.4193548387096775,7,0,2.838709677419355,7,1,3,16,map_mindeg,0.4578799,
38,10,17,46,1.2105263157894737,2,0,1.2105263157894737,6,0,2.421052631578948,6,0,3,19,map_mindeg,0.8273519,
45,8,12,63,1.4,2,0,1.4,8,0,2.8,8,1,4,29,map_mindeg,26.4596054,
38,8,16,51,1.3421052631578947,2,0,1.3421052631578947,6,0,2.6842105263157894,6,1,4,22,map_mindeg,0.9866464,
36,7,16,44,1.2222222222222223,2,0,1.2222222222222223,5,0,2.4444444444444446,5,1,4,20,map_mindeg,0.4511997000000001,
33,8,9,45,1.3636363636363635,2,0,1.3636363636363635,5,0,2.727272727272727,5,0,3,18,map_mindeg,1.0804503999999997,
36,7,9,51,1.4166666666666667,2,0,1.4166666666666667,5,0,2.833333333333333,5,0,4,22,map_mindeg,3.0713287000000005,
33,9,14,41,1.2424242424242424,2,0,1.2424242424242424,5,0,2.484848484848485,5,1,3,18,map_mindeg,0.4213564000000001,
42,11,16,55,1.3095238095238095,2,0,1.3095238095238095,7,0,2.619047619047619,7,1,4,23,map_mindeg,0.8668857000000001,
39,7,11,54,1.3846153846153846,2,0,1.3846153846153846,7,0,2.769230769230769,7,1,4,22,map_mindeg,9.5547225,
43,9,16,58,1.3488372093023255,2,0,1.3488372093023255,6,0,2.697674418604651,6,1,4,30,map_mindeg,3.8992514,
29,10,8,32,1.103448275862069,2,0,1.103448275862069,4,0,2.206896551724138,4,1,2,18,map_mindeg,0.5922674000000003,
42,11,15,53,1.261904761904762,2,0,1.261904761904762,7,0,2.523809523809524,7,1,4,23,map_mindeg,1.4985829000000002,
36,7,12,47,1.3055555555555556,2,0,1.3055555555555556,6,0,2.611111111111111,6,1,4,22,map_mindeg,0.8765204,
37,9,10,46,1.2432432432432432,2,0,1.2432432432432432,6,0,2.4864864864864864,6,0,4,21,map_mindeg,0.8454500999999999,
32,6,11,41,1.28125,2,0,1.28125,5,0,2.5625,5,0,3,19,map_mindeg,0.3090405999999999,
37,8,14,49,1.3243243243243243,2,0,1.3243243243243243,5,0,2.6486486486486487,5,1,4,20,map_mindeg,2.4173453999999994,
41,5,16,61,1.4878048780487805,2,0,1.4878048780487805,8,0,2.975609756097561,8,1,4,22,map_mindeg,2.3168956,
41,10,13,52,1.2682926829268293,2,0,1.2682926829268293,5,0,2.5365853658536586,5,1,4,23,map_mindeg,4.842490699999999,
33,6,10,45,1.3636363636363635,2,0,1.3636363636363635,7,0,2.727272727272727,7,1,3,20,map_mindeg,1.0262572,
29,4,9,42,1.4482758620689655,2,0,1.4482758620689655,7,0,2.896551724137931,7,1,2,16,map_mindeg,2.1516218,
