nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,experiment,runtime
193,50,66,239,1.238341968911917,2,0,1.238341968911917,7,0,2.476683937823834,7,0,order_random,0.0265504000000005
497,109,192,652,1.311871227364185,2,0,1.311871227364185,7,0,2.62374245472837,7,0,order_random,0.1605634
35,7,11,48,1.3714285714285714,2,0,1.3714285714285714,5,0,2.742857142857143,5,1,order_random,0.0021818000000006
162,34,60,218,1.345679012345679,2,0,1.345679012345679,10,0,2.691358024691358,10,0,order_random,0.0204078
111,25,37,146,1.3153153153153154,2,0,1.3153153153153154,8,0,2.630630630630631,8,1,order_random,0.0109484000000001
474,117,172,601,1.2679324894514767,2,0,1.2679324894514767,8,0,2.535864978902953,8,0,order_random,0.1362403000000007
64,10,24,88,1.375,2,0,1.375,7,0,2.75,7,1,order_random,0.0062873000000003
296,58,109,410,1.385135135135135,2,0,1.385135135135135,9,0,2.77027027027027,9,0,order_random,0.0694281000000005
465,103,164,613,1.3182795698924732,2,0,1.3182795698924732,8,0,2.6365591397849464,8,0,order_random,0.1605870999999998
15,3,4,19,1.2666666666666666,2,0,1.2666666666666666,4,0,2.533333333333333,4,1,order_random,0.0009665000000005
239,56,84,309,1.292887029288703,2,0,1.292887029288703,6,0,2.585774058577406,6,0,order_random,0.0537474000000006
5,1,1,6,1.2,2,0,1.2,3,0,2.4,3,2,order_random,0.0003185999999999
45,11,17,62,1.3777777777777778,2,0,1.3777777777777778,6,0,2.7555555555555555,6,0,order_random,0.0049773999999995
270,62,103,359,1.3296296296296295,2,0,1.3296296296296295,8,0,2.6592592592592594,8,0,order_random,0.0537492999999997
487,100,169,665,1.3655030800821355,2,0,1.3655030800821355,10,0,2.731006160164271,10,0,order_random,0.1505188999999998
423,88,143,584,1.380614657210402,2,0,1.380614657210402,8,0,2.761229314420804,8,0,order_random,0.1649054999999997
84,20,34,112,1.3333333333333333,2,0,1.3333333333333333,7,0,2.6666666666666665,7,1,order_random,0.0069352999999994
317,72,121,418,1.3186119873817037,2,0,1.3186119873817037,9,0,2.637223974763407,9,0,order_random,0.0655555000000003
236,55,86,310,1.3135593220338984,2,0,1.3135593220338984,8,0,2.6271186440677967,8,0,order_random,0.0384785
214,43,84,284,1.3271028037383177,2,0,1.3271028037383177,8,0,2.654205607476636,8,1,order_random,0.0317039000000001
364,78,128,484,1.3296703296703296,2,0,1.3296703296703296,8,0,2.659340659340659,8,0,order_random,0.0788746000000006
218,42,80,293,1.3440366972477065,2,0,1.3440366972477065,7,0,2.688073394495413,7,0,order_random,0.0293849000000001
391,81,139,517,1.3222506393861893,2,0,1.3222506393861893,7,0,2.6445012787723785,7,0,order_random,0.0936555999999999
169,37,56,231,1.366863905325444,2,0,1.366863905325444,6,0,2.733727810650888,6,1,order_random,0.0192263999999999
363,72,136,492,1.3553719008264462,2,0,1.3553719008264462,7,0,2.7107438016528924,7,1,order_random,0.0862673999999996
98,15,36,132,1.346938775510204,2,0,1.346938775510204,8,0,2.693877551020408,8,1,order_random,0.0095600000000004
362,77,136,475,1.3121546961325967,2,0,1.3121546961325967,10,0,2.624309392265193,10,0,order_random,0.0854990999999998
453,97,164,594,1.3112582781456954,2,0,1.3112582781456954,8,0,2.622516556291391,8,0,order_random,0.1628637999999993
422,85,143,558,1.3222748815165877,2,0,1.3222748815165877,6,0,2.644549763033176,6,1,order_random,0.1158688000000003
213,41,81,298,1.3990610328638498,2,0,1.3990610328638498,7,0,2.7981220657276995,7,0,order_random,0.0312780999999997
224,53,88,298,1.3303571428571428,2,0,1.3303571428571428,8,0,2.6607142857142856,8,0,order_random,0.0366073
129,26,46,178,1.37984496124031,2,0,1.37984496124031,7,0,2.75968992248062,7,0,order_random,0.0168279999999994
133,26,45,179,1.3458646616541354,2,0,1.3458646616541354,8,0,2.691729323308271,8,0,order_random,0.0143089999999999
51,10,21,72,1.411764705882353,2,0,1.411764705882353,6,0,2.823529411764706,6,1,order_random,0.0053862999999996
277,63,100,371,1.339350180505415,2,0,1.339350180505415,7,0,2.67870036101083,7,1,order_random,0.0531129000000003
279,61,102,371,1.3297491039426523,2,0,1.3297491039426523,9,0,2.6594982078853047,9,0,order_random,0.0510913999999997
201,50,73,261,1.2985074626865671,2,0,1.2985074626865671,7,0,2.5970149253731343,7,0,order_random,0.0250314999999998
479,102,173,635,1.325678496868476,2,0,1.325678496868476,7,0,2.651356993736952,7,0,order_random,0.1565493
140,31,58,185,1.3214285714285714,2,0,1.3214285714285714,7,0,2.642857142857143,7,0,order_random,0.0148836000000001
364,81,129,485,1.3324175824175823,2,0,1.3324175824175823,7,0,2.6648351648351647,7,0,order_random,0.0834137999999997
74,17,29,91,1.2297297297297298,2,0,1.2297297297297298,6,0,2.45945945945946,6,0,order_random,0.0067371999999998
392,90,142,521,1.3290816326530612,2,0,1.3290816326530612,7,0,2.6581632653061225,7,0,order_random,0.1014642999999999
148,38,54,189,1.277027027027027,2,0,1.277027027027027,6,0,2.554054054054054,6,0,order_random,0.0218319999999998
284,70,107,376,1.323943661971831,2,0,1.323943661971831,8,0,2.647887323943662,8,0,order_random,0.0482714999999993
304,68,115,415,1.3651315789473684,2,0,1.3651315789473684,9,0,2.7302631578947367,9,0,order_random,0.0675301000000008
103,23,38,140,1.3592233009708738,2,0,1.3592233009708738,8,0,2.718446601941748,8,1,order_random,0.0101147999999993
356,78,124,475,1.3342696629213484,2,0,1.3342696629213484,8,0,2.668539325842697,8,1,order_random,0.0875855999999997
403,95,147,521,1.2928039702233252,2,0,1.2928039702233252,7,0,2.5856079404466503,7,0,order_random,0.1162261000000004
391,91,143,508,1.29923273657289,2,0,1.29923273657289,9,0,2.59846547314578,9,0,order_random,0.1118795000000005
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,order_random,0.0003162000000003
381,93,133,497,1.304461942257218,2,0,1.304461942257218,7,0,2.608923884514436,7,0,order_random,0.1026233999999997
354,74,121,470,1.3276836158192091,2,0,1.3276836158192091,6,0,2.6553672316384183,6,0,order_random,0.0782976000000008
32,7,12,40,1.25,2,0,1.25,5,0,2.5,5,1,order_random,0.0019958999999998
461,103,164,604,1.3101952277657267,2,0,1.3101952277657267,9,0,2.620390455531453,9,0,order_random,0.1353045999999995
81,20,33,103,1.271604938271605,2,0,1.271604938271605,5,0,2.54320987654321,5,0,order_random,0.0061607999999999
35,11,13,42,1.2,2,0,1.2,4,0,2.4,4,1,order_random,0.0022456999999995
410,84,143,561,1.3682926829268294,2,0,1.3682926829268294,9,0,2.7365853658536587,9,0,order_random,0.1166944
224,52,86,282,1.2589285714285714,2,0,1.2589285714285714,6,0,2.517857142857143,6,0,order_random,0.0377574000000002
72,15,25,95,1.3194444444444444,2,0,1.3194444444444444,7,0,2.638888888888889,7,0,order_random,0.0068858
405,87,158,534,1.3185185185185184,2,0,1.3185185185185184,8,0,2.637037037037037,8,0,order_random,0.1196261999999999
14,4,6,16,1.1428571428571428,2,0,1.1428571428571428,5,0,2.2857142857142856,5,1,order_random,0.0010046999999993
478,114,182,615,1.286610878661088,2,0,1.286610878661088,8,0,2.573221757322176,8,0,order_random,0.1332513000000004
457,110,153,585,1.2800875273522976,2,0,1.2800875273522976,9,0,2.560175054704595,9,0,order_random,0.1414083999999995
218,48,79,300,1.3761467889908257,2,0,1.3761467889908257,8,0,2.7522935779816518,8,1,order_random,0.0339081999999999
24,4,8,31,1.2916666666666667,2,0,1.2916666666666667,5,0,2.583333333333333,5,0,order_random,0.0015024999999999
194,44,73,260,1.3402061855670102,2,0,1.3402061855670102,7,0,2.6804123711340204,7,0,order_random,0.0315905999999994
474,96,167,644,1.358649789029536,2,0,1.358649789029536,9,0,2.717299578059072,9,0,order_random,0.1643866000000002
283,62,108,372,1.314487632508834,2,0,1.314487632508834,8,0,2.628975265017668,8,0,order_random,0.0510852999999995
278,56,109,370,1.330935251798561,2,0,1.330935251798561,9,0,2.661870503597122,9,0,order_random,0.0480267000000003
341,73,123,450,1.3196480938416422,2,0,1.3196480938416422,7,0,2.6392961876832843,7,0,order_random,0.0754804999999994
318,68,126,426,1.339622641509434,2,0,1.339622641509434,8,0,2.679245283018868,8,0,order_random,0.0684785000000003
64,15,20,83,1.296875,2,0,1.296875,8,0,2.59375,8,1,order_random,0.0054885000000002
218,49,79,273,1.2522935779816513,2,0,1.2522935779816513,6,0,2.5045871559633026,6,0,order_random,0.0284972000000003
44,6,18,59,1.3409090909090908,2,0,1.3409090909090908,7,0,2.6818181818181817,7,1,order_random,0.0031293999999997
241,55,92,320,1.3278008298755186,2,0,1.3278008298755186,8,0,2.655601659751037,8,0,order_random,0.0516537000000001
374,78,132,497,1.3288770053475936,2,0,1.3288770053475936,8,0,2.657754010695187,8,0,order_random,0.0907076
